text,category
Rs.994.42 Dr. from A/C XXXXXXXX and Cr. to UPI CASHBACK. Ref:504451540638. AvlBal:Rs17863.39.,Other
Rs.1879.23 Dr. from A/C XXXXXXXX and Cr. to METRO. Ref:303918324613. AvlBal:Rs658.53.,Transport
Rs.4170.21 Dr. from A/C XXXXXXXX and Cr. to FOOD ORDER. Ref:354128041009. AvlBal:Rs20536.79.,Food & Dining
Rs.3392.09 Dr. from A/C XXXXXXXX and Cr. to EDX. Ref:281913726323. AvlBal:Rs38176.86.,Education
Rs.490.0 Dr. from A/C XXXXXXXX and Cr. to SUBSCRIPTION. Ref:382645662483. AvlBal:Rs3950.11.,Entertainment
Rs.4399.28 Dr. from A/C XXXXXXXX and Cr. to PAYTM MONEY. Ref:378964837659. AvlBal:Rs20579.87.,Investment
Rs.1758.47 Dr. from A/C XXXXXXXX and Cr. to SUBSCRIPTION. Ref:241920617348. AvlBal:Rs5270.82.,Entertainment
Rs.2617.2 Dr. from A/C XXXXXXXX and Cr. to POS TRANSACTION. Ref:665247879471. AvlBal:Rs1900.85.,Other
Rs.4879.7 Dr. from A/C XXXXXXXX and Cr. to RELIANCE FRESH. Ref:619100466264. AvlBal:Rs39949.41.,Groceries
Rs.866.17 Dr. from A/C XXXXXXXX and Cr. to SUN NXT. Ref:794939405383. AvlBal:Rs23799.53.,Entertainment
Rs.4275.47 Dr. from A/C XXXXXXXX and Cr. to COLLEGE FEES. Ref:137430414253. AvlBal:Rs23369.53.,Education
Rs.1055.15 Dr. from A/C XXXXXXXX and Cr. to REFUND. Ref:429708001978. AvlBal:Rs10761.64.,Other
Rs.1331.5 Dr. from A/C XXXXXXXX and Cr. to RESTAURANT. Ref:193986336173. AvlBal:Rs32096.24.,Food & Dining
Rs.4469.92 Dr. from A/C XXXXXXXX and Cr. to HOSPITAL PAYMENT. Ref:661853367246. AvlBal:Rs17693.92.,Health
Rs.3457.26 Dr. from A/C XXXXXXXX and Cr. to AJIO. Ref:838862005121. AvlBal:Rs48899.43.,Shopping
Rs.2997.72 Dr. from A/C XXXXXXXX and Cr. to FRIEND TRANSFER. Ref:463332330693. AvlBal:Rs43171.07.,Other
Rs.368.43 Dr. from A/C XXXXXXXX and Cr. to BESCOM. Ref:312569412845. AvlBal:Rs39254.45.,Bills & Utilities
Rs.1318.88 Dr. from A/C XXXXXXXX and Cr. to EVENT BOOKING. Ref:696075010335. AvlBal:Rs37302.47.,Entertainment
Rs.4022.29 Dr. from A/C XXXXXXXX and Cr. to DISNEY HOTSTAR. Ref:701222579713. AvlBal:Rs40303.15.,Entertainment
Rs.3335.95 Dr. from A/C XXXXXXXX and Cr. to TOLL PLAZA. Ref:580504025357. AvlBal:Rs43301.48.,Transport
Rs.3961.98 Dr. from A/C XXXXXXXX and Cr. to ACT FIBERNET. Ref:823270965181. AvlBal:Rs3889.26.,Bills & Utilities
